grid_id,grid_lat,grid_lon,year,event_count,mean_mag,max_mag,mean_depth,event_occur,event_count_next,event_next
-10.0_112.0,-10.0,112.0,2019,5,5.061999999999999,5.66,44.38,1,7,1
-10.0_112.0,-10.0,112.0,2020,7,4.804285714285713,5.02,42.62857142857143,1,3,1
-10.0_112.0,-10.0,112.0,2021,3,4.966666666666667,5.5,13.2,1,14,1
-10.0_112.0,-10.0,112.0,2022,14,4.835714285714286,5.23,27.0,1,4,1
-10.0_112.0,-10.0,112.0,2023,4,4.9425,5.16,49.325,1,3,1
-10.0_112.0,-10.0,112.0,2024,3,4.97,5.05,52.06666666666666,1,1,1
-10.0_113.0,-10.0,113.0,2015,1,4.55,4.55,10.0,1,2,1
-10.0_113.0,-10.0,113.0,2016,2,5.07,5.63,61.75,1,4,1
-10.0_113.0,-10.0,113.0,2019,8,4.81375,5.04,28.375,1,7,1
-10.0_113.0,-10.0,113.0,2020,7,4.987142857142857,6.75,30.47142857142857,1,7,1
-10.0_113.0,-10.0,113.0,2021,7,5.168571428571428,5.83,148.22857142857143,1,2,1
-10.0_114.0,-10.0,114.0,2017,3,4.756666666666667,4.87,38.13333333333333,1,1,1
-10.0_114.0,-10.0,114.0,2018,1,5.11,5.11,53.1,1,4,1
-10.0_114.0,-10.0,114.0,2019,4,4.71,4.82,41.275000000000006,1,6,1
-10.0_114.0,-10.0,114.0,2020,6,4.783333333333333,5.53,35.916666666666664,1,3,1
-10.0_114.0,-10.0,114.0,2021,3,4.966666666666667,5.15,23.5,1,1,1
-10.0_114.0,-10.0,114.0,2022,1,4.93,4.93,60.1,1,8,1
-10.0_114.0,-10.0,114.0,2023,8,4.6975,4.88,23.275,1,3,1
-10.0_114.0,-10.0,114.0,2024,3,4.670000000000001,4.79,29.3,1,3,1
-10.0_115.0,-10.0,115.0,2017,2,4.775,4.93,76.9,1,5,1
-10.0_115.0,-10.0,115.0,2020,1,5.62,5.62,201.9,1,5,1
-10.0_115.0,-10.0,115.0,2021,5,5.828,6.09,112.4,1,1,1
-10.0_115.0,-10.0,115.0,2022,1,5.58,5.58,134.1,1,4,1
-10.0_115.0,-10.0,115.0,2023,4,5.1575,5.44,43.9,1,3,1
-10.0_116.0,-10.0,116.0,2017,2,4.640000000000001,4.71,30.35,1,2,1
-10.0_116.0,-10.0,116.0,2018,2,4.67,4.84,56.65,1,2,1
-10.0_116.0,-10.0,116.0,2019,2,5.46,6.39,13.5,1,4,1
-10.0_116.0,-10.0,116.0,2020,4,5.112500000000001,5.99,31.625,1,1,1
-10.0_116.0,-10.0,116.0,2021,1,6.18,6.18,10.0,1,2,1
-10.0_116.0,-10.0,116.0,2022,2,4.865,5.21,96.9,1,1,1
-10.0_116.0,-10.0,116.0,2023,1,4.56,4.56,30.6,1,1,1
-10.0_117.0,-10.0,117.0,2015,7,4.675714285714285,4.84,22.4,1,3,1
-10.0_117.0,-10.0,117.0,2016,3,4.976666666666667,5.32,53.23333333333333,1,1,1
-10.0_117.0,-10.0,117.0,2017,1,4.51,4.51,93.5,1,5,1
-10.0_117.0,-10.0,117.0,2018,5,4.88,5.06,57.78,1,3,1
-10.0_117.0,-10.0,117.0,2019,3,4.823333333333333,5.03,68.5,1,7,1
-10.0_117.0,-10.0,117.0,2020,7,4.901428571428572,5.38,23.61428571428572,1,2,1
-10.0_117.0,-10.0,117.0,2021,2,5.465,5.87,103.4,1,1,1
-10.0_117.0,-10.0,117.0,2022,1,4.76,4.76,11.5,1,1,1
-10.0_117.0,-10.0,117.0,2023,1,5.0,5.0,13.3,1,2,1
-10.0_118.0,-10.0,118.0,2015,3,4.8133333333333335,4.92,36.3,1,4,1
-10.0_118.0,-10.0,118.0,2016,4,5.1125,6.55,67.825,1,6,1
-10.0_118.0,-10.0,118.0,2017,6,4.68,4.93,73.45,1,6,1
-10.0_118.0,-10.0,118.0,2018,6,4.831666666666666,5.16,50.11666666666667,1,5,1
-10.0_118.0,-10.0,118.0,2019,5,4.738,5.02,44.04,1,10,1
-10.0_118.0,-10.0,118.0,2020,10,5.1240000000000006,6.24,19.73,1,2,1
-10.0_118.0,-10.0,118.0,2021,2,4.99,5.43,118.2,1,2,1
-10.0_118.0,-10.0,118.0,2022,2,4.595,4.64,24.35,1,2,1
-10.0_119.0,-10.0,119.0,2015,2,4.654999999999999,4.77,57.35,1,6,1
-10.0_119.0,-10.0,119.0,2016,6,5.105,6.16,70.60000000000001,1,1,1
-10.0_119.0,-10.0,119.0,2017,1,4.69,4.69,71.9,1,6,1
-10.0_119.0,-10.0,119.0,2018,6,4.8,5.21,41.5,1,5,1
-10.0_119.0,-10.0,119.0,2019,5,4.796,5.04,37.4,1,23,1
-10.0_119.0,-10.0,119.0,2020,23,4.847391304347826,5.22,35.32173913043478,1,10,1
-10.0_119.0,-10.0,119.0,2021,10,4.766,5.02,48.16,1,4,1
-10.0_119.0,-10.0,119.0,2022,4,4.825,4.93,37.425,1,3,1
-10.0_119.0,-10.0,119.0,2023,3,4.653333333333333,4.8,45.46666666666667,1,5,1
-10.0_119.0,-10.0,119.0,2024,5,4.82,5.13,29.420000000000005,1,2,1
-10.0_120.0,-10.0,120.0,2017,1,5.73,5.73,81.8,1,1,1
-10.0_120.0,-10.0,120.0,2018,1,4.68,4.68,35.0,1,2,1
-10.0_120.0,-10.0,120.0,2019,2,4.609999999999999,4.62,93.5,1,2,1
-10.0_120.0,-10.0,120.0,2020,2,5.095000000000001,5.58,143.15,1,5,1
-10.0_120.0,-10.0,120.0,2021,5,5.158,5.66,55.4,1,1,1
-10.0_120.0,-10.0,120.0,2022,1,4.63,4.63,59.2,1,1,1
-10.0_121.0,-10.0,121.0,2018,3,5.003333333333333,5.22,104.76666666666668,1,1,1
-10.0_121.0,-10.0,121.0,2019,1,4.61,4.61,59.1,1,1,1
-10.0_121.0,-10.0,121.0,2020,1,5.15,5.15,10.0,1,2,1
-10.0_121.0,-10.0,121.0,2024,1,4.52,4.52,76.5,1,1,1
-10.0_122.0,-10.0,122.0,2016,2,4.8,5.0,35.7,1,2,1
-10.0_122.0,-10.0,122.0,2017,2,4.8,5.05,46.8,1,1,1
-10.0_122.0,-10.0,122.0,2018,1,5.15,5.15,136.2,1,2,1
-10.0_122.0,-10.0,122.0,2019,2,5.815,6.16,41.85,1,1,1
-10.0_122.0,-10.0,122.0,2020,1,5.57,5.57,389.1,1,2,1
-10.0_123.0,-10.0,123.0,2015,2,4.615,4.72,76.35,1,3,1
-10.0_123.0,-10.0,123.0,2016,3,4.77,4.92,110.96666666666664,1,3,1
-10.0_123.0,-10.0,123.0,2017,3,4.6866666666666665,4.91,78.89999999999999,1,2,1
-10.0_123.0,-10.0,123.0,2018,2,4.79,4.92,57.0,1,1,1
-10.0_123.0,-10.0,123.0,2019,1,4.6,4.6,55.1,1,6,1
-10.0_123.0,-10.0,123.0,2020,6,5.073333333333333,5.94,67.61666666666666,1,1,1
-10.0_123.0,-10.0,123.0,2021,1,4.69,4.69,16.5,1,4,1
-10.0_123.0,-10.0,123.0,2022,4,4.8325,4.92,75.725,1,3,1
-10.0_124.0,-10.0,124.0,2015,4,4.8125,5.1,86.1,1,2,1
-10.0_124.0,-10.0,124.0,2016,2,4.975,5.08,81.95,1,1,1
-10.0_124.0,-10.0,124.0,2017,1,4.82,4.82,10.0,1,1,1
-10.0_124.0,-10.0,124.0,2018,1,5.11,5.11,50.3,1,8,1
